,text,y_true,y_RNN,y_SVC
10893,team 11278 1982 rider conflict monaco pari european style,18,18,18
62070,gre avant gard squar composit swim pool kit 326 096 bubbl cover origin shape abov ground made wood rang deliv complet sand filter flow rate includ step ladder outsid stainless steel insid larg gray open skimmer polyest floor mat dimens extern area 280 093 space requir 526 water volum 660 guarante year structur filtrat accessori,23,23,23
16723,westcott 305cm 30cm transluc shatterproof ruler pack color set contain one follow transpar blue green red construct ensur long life make perfect choic ani classroom flexi design technolog allow bend twist learn fun measur display centimet side conveni handl sturdi easi use,13,16,21
14187,recharg safeti dog collar led glow light cat usb sweetheart93 pet featur materi leather made nylonplasticleathersturdi durabl wear resist easi conveni take buckl great way ensur eco friend charg via micro interfac power adapt cellphon mobil charger bank comfort flexibl onli attract also worn fit differ theme occas perfect outfit display birthday parti halloween christma easter etc good gift dimens measur hand may 3cm deviat thank understand comput color actual item slight imag centimet rang pull wide maximum length 50cm packag includ 1pcs cabl,17,17,17
58607,panini invizim challeng cach shellshock card n138,5,5,5
100,garcia pou wine cover 12x23 acryl glass unit made measur diamet height avail smoke color,22,22,22
47110,complet handbook elv advanc dungeon dragon add,6,6,6
25546,swim pool hose clamp blue ideal choic filter pump skimmer clean accessori match ring diamet made low densiti polyethylen ldpe make lightweight durabl addit weather resist ha length meter divis everi cut accord need come help fix easili color materi weight 150,23,23,23
58746,mickey mous flip flop 7448 fun guarante summer propos plea young old buy enjoy free time color red composit eva,11,11,11
50714,led solar power light sensor wall outdoor garden fenc lamp waterproof 243 featur 100 brand new high qualiti floodlight effici panel need environment friend product energi convers rate specif control system ensur auto dark environ even automat charg dure day enough sunshin night easi instal adjust angl grade ip55 put water long time wide use decor gutter yard roof etc type materi ab quatiti lumin flux 12lm color cool white yellow temp,16,22,16
55360,silent pump 100 15m mono iri 1000 singl phase 1cv 14m3 self prime compact work fresh salt water connect glu,23,23,23
30254,assassin among book base life journalist rediscov profess eye friend author want show wa easi risk incur could veri well scare point lose tast thing allow choos also serv springboard big fall budi bigman case five year seri murder cover half stop believ happi wait end fact write help team regain,25,25,25
35888,batteri charger suit mjx bug quadcopt drone 1966 generic featur suitabl compact lightweight balanc ensur charg safeti conveni packag includ pc plug,9,9,9
79859,thermostat mixer shower faucet chrome brass anti scald protect jun descript valv remain constant temperatur set conveni use give comfort worth buy featur main made qualiti copper materi sturdi durabl finish high precis workmanship safe respons stabl perform check hot water interfac reflux chip intellig 38c function prevent easi assembl specif condit 100 brand new work pressur 10mpa cold 29c 80c adjust 50c color pictur approx 276cm 64cm 109 25inch outlet packag weight 12kg includ,16,22,13
17222,tabl brittani,0,0,0
44921,sport sofa bed home decor cushion festiv pillowcas cover 3707 pillow case specif 100 brand new high qualiti perfect place coffe shop librari book store parti club materi linen shape squar 43cm type plea allow slight deviat color measur understand thank packag includ 1pc,14,14,14
6787,verga malavoglia,0,25,0
14508,master car 1908 panhard levassor,9,4,18
41173,mobil phone game trigger handl fire button pubg l1r1 shooter control accessori descript work allow user custom interfac support devic touch screen limit rule surviv survivor royal knive critic op specif product weight 25mm 157 098 materi plastic packag includ pair left right,2,2,2
19666,vampir etern struggl blais,5,5,5
75867,moakoada handheld extens rod selfi stick screw adapt dji osmo pocket generic portabl featur high adjust arm stretch 366 inch extend bodi flexibl phone cradl allow captur perfect photo differ angl premium design construct remark lightweight sturdi aluminum alloy retract frame ergonom handl better grip fulli 1181 3661 length get shot use short intim longer fit peopl landscap compact easili handbag make ideal spontan onli long ani small bag comfort touch great workmanship materi environment waterproof rubber suffer good shidproof standard connect regular tripod monopod flash light microphon monitor etc thread bottom interfac plastic packag 1pc,9,9,9
9015,woman fashion pearl hasp color chain patchwork shoulder bag casual bt1021 purs featur perfect workmanship eleg design show beauti tempera human chang tast feel free veri suitabl wed parti prom daili wear travel offic occas great gift friend famili gender materi style type backpack closur trend 20cm x8cm x15cm strap length 122cm note dimens measur hand may deviat due differ monitor pictur reflect actual item thank packag content,12,12,12
1703,toi forest pool 730x366x120 abov ground self support 8316 730 long 366 wide 120 high need complet garden yard made resist materi lacquer steel wall profil close two row bolt cover decor hdpe photograph qualiti treat safe swim capac 500 liter includ sand filter 3600 power 140w recommend arena micron skimmer step ladder decoh seri anti pvc liner thank renew everi year system densiti polyethylen creat environment friend biodegrad fastest econom easiest way chang look new,23,23,23
29758,centrocom microf capacitor spare part,23,15,23
4689,venetian suit collect volum origin edit warnaut,19,19,19
68386,300 watt projector bulb 300w,23,24,23
36859,skyland battl arena ps3 xbox360 nintendo wii dvd light element space led color lamp chang,2,2,2
31722,new flower heart metal cut die stencil diy scrapbook album paper cardhpp6646 card craft descript hand emboss help child abil develop intelligencemad steel materialgood hard soft touch best make beauti greet differ shape use allow homemad frame cutout favorit manual machin even amus meaningfulhurri tri 116 109mm materi carbon color sliver packag includ 1set,22,22,22
42021,wall wallpap sticker decor brick simul tile emboss featur 100 brand new high qualiti three dimension soft foam anti collis child care famili safe safeti environment protect suitabl free non toxic home space lifelik style simpl modern natur pattern effect instal diy self adhes design easi casual collag arbitrari cut compar better nois reduct method past surfac wood glass without dust hit bottom putti materi pvc 4cm packag content 1pc,16,16,16
1023,bab ou open citi,25,0,0
63438,round self support swim pool 366 076 blue oogarden come accessori need instal dimens water volum 454 surfac height 062 liner tripl thick pvc discharg nozzl diamet drain socket color assembl time min age filtrat cartridg filter 227 power 65w 220 240v flow rate connect mm2 pipe length 260 type paper fiber inject plastic pump bodi treat pleasur littl home extern 5454 includ element wall structur weight 108 explanatori note return 32mm warranti year shape area,23,23,23
14523,staircas ladder handrail stainless steel astralpool type materi fix screw,23,23,23
60586,kitchen tool gadget practic separ egg white yolk divid siev holder sold store zhufuwm offer choic color style send product random hope understand featur brand new high qualiti adopt import food strength resin help easili easi use safe clear necessari good assist plastic beauti profil clean materi grade green blue pink khaki plea keep wash packag content funni,13,13,13
72542,adhes wall sticker true superhero 40x79cm materi calend vinyl sheet color multicolor dimens 40x79,16,12,16
18983,hayward powerlin plus mono 075 swim pool filtrat pump main advantag self prime close ventil motor ipx5 reinforc resin inject compon ceram shutter carbon transpar lexan cover butterfli quick open inlet outlet basket volum 1000 cm3 suppli power cord without fit year warranti strong point silent low compat salt treatment technic characterist model power050 cv075 cv1 cv15 cvflow rate8 h11 h13 h15 hmax consumption639 w870 w975 w1100 wconnections1 2warranty2,23,23,23
63691,light pink teddi bear handkerchief kimbaloo high,7,7,7
46281,flower pot lazi automat hydropon plant water absorb circular resin plastic doubl layer design self diamet 11cm height 103cm planter ensur take enough need day frequent per fill durabl great indoor outdoor use includ item smart help care busi trip thank allow excess store bottom suppli plea note exceed inner basket caus die log otherwis 8cm depth 7cm specif materialresinsize11 3cm,24,22,22
